flux : Riemann
112 0.9797074732428551 0.024207741627714406 0.9717062345854351
113 0.9739474151146186 0.031152186072158826 0.9637174282720394
114 0.9682144812886283 0.038096630516603246 0.9557849847870854
115 0.9625085758549868 0.04504107496104785 0.9479085723631067
116 0.9568296031301514 0.05198551940549227 0.9400878607967811
117 0.9511774676566658 0.05892996384993669 0.9323225214433926
118 0.9455520742028964 0.06587440829438111 0.9246122272113118
119 0.9399533277627574 0.07281885273882553 0.9169566525564741
120 0.9343811335554515 0.07976329718326995 0.9093554734768937
121 0.9288353970251985 0.08670774162771437 0.9018083675071731
122 0.9233160238409658 0.09365218607215879 0.8943150137130271
123 0.9178229198962082 0.10059663051660339 0.8868750926858354
124 0.9123559913085931 0.10754107496104781 0.8794882865371852
125 0.906915144419734 0.11448551940549223 0.8721542788934401
126 0.901500285794928 0.12142996384993665 0.8648727548903269
127 0.8961113222228823 0.12837440829438107 0.8576434011675191
128 0.8907481607154536 0.1353188527388255 0.8504659058632542
129 0.8854107085073747 0.1422632971832699 0.8433399586089416
130 0.8800988730559872 0.14920774162771452 0.8362652505237966
131 0.8748125620409792 0.15615218607215886 0.8292414742094908
132 0.8695516833641117 0.16309663051660336 0.8222683237448012
133 0.8643161451489582 0.17004107496104778 0.8153454946802904
134 0.8591058557406306 0.1769855194054922 0.8084726840329803
135 0.853920723705514 0.1839299638499367 0.8016495902810508
136 0.8487606578310019 0.19087440829438113 0.7948759133585525
137 0.8436255671252225 0.19781885273882555 0.7881513546501197
138 0.8385153608167812 0.20476329718326997 0.7814756169857173
139 0.8334299483544839 0.2117077416277145 0.7748484046353763
140 0.8283692394070724 0.21865218607215892 0.7682694233039571
141 0.8233331438629604 0.22559663051660334 0.7617383801259259
142 0.8183215718299586 0.23254107496104776 0.7552549836601311
143 0.8133344336350183 0.23948551940549226 0.7488189438846149
144 0.8083716398239528 0.24642996384993668 0.742429972191409
145 0.8034331011611765 0.2533744082943809 0.7360877813813678
146 0.7985187286294368 0.2603188527388253 0.7297920856590017
147 0.7936284334295418 0.26726329718326985 0.7235426006273202
148 0.7887621269801027 0.2742077416277143 0.717339043282706
149 0.7839197209172556 0.2811521860721587 0.711181132009774
150 0.7791011270944008 0.2880966305166032 0.7050685865762673
151 0.7743062575819344 0.29504107496104764 0.6990011281279538
152 0.769535024666976 0.30198551940549206 0.6929784791835326
153 0.7647873408531113 0.3089299638499365 0.6870003636295697
154 0.7600631188601136 0.31587440829438096 0.6810665067154213
155 0.7553622716236837 0.3228188527388254 0.6751766350481917
156 0.7506847122951805 0.3297632971832698 0.6693304765876924
157 0.7460303542413503 0.33670774162771433 0.6635277606414123
158 0.7413991110440662 0.34365218607215875 0.6577682178595121
159 0.7367908965000547 0.35059663051660317 0.6520515802298167
160 0.7322056246206307 0.3575410749610476 0.6463775810728289
161 0.7276432096314296 0.3644855194054921 0.6407459550367532
162 0.7231035659721411 0.37142996384993654 0.6351564380925323
163 0.7185866082962387 0.37837440829438096 0.6296087675288936
164 0.714092251470716 0.3853188527388254 0.6241026819474135
165 0.709620410575817 0.39226329718326985 0.6186379212575883
166 0.7051710009047694 0.3992077416277143 0.6132142266719207
167 0.7007439379635172 0.4061521860721587 0.6078313407010182
168 0.696339137470452 0.4130966305166032 0.6024890071487011
169 0.6919565153561478 0.42004107496104764 0.5971869711071287
170 0.6875959877630922 0.42698551940549206 0.5919249789519317
171 0.6832574710454192 0.4339299638499365 0.5867027783373597
172 0.6789408817686421 0.440874408294381 0.5815201181914418
173 0.6746461367093839 0.44781885273882543 0.5763767487111542
174 0.6703731528551162 0.45476329718326985 0.5712724213576129
175 0.6661218474038819 0.4617077416277143 0.5662068888512575
176 0.6618921377640371 0.46865218607215875 0.56117990516707
177 0.6576839415539775 0.475596630516603 0.5561912255297887
178 0.6534971766018748 0.4825410749610474 0.5512406064091447
179 0.6493317609454071 0.48948551940549184 0.5463278055151042
180 0.6451876128314923 0.4964299638499364 0.5414525817931263
181 0.6410646507160207 0.5033744082943807 0.5366146954194317
182 0.6369627932635863 0.5103188527388252 0.5318139077962829
183 0.6328819593472209 0.5172632971832697 0.5270499815472781
184 0.6288220680481286 0.5242077416277141 0.5223226805126592
185 0.6247830386554126 0.5311521860721585 0.5176317697446223
186 0.6207647906658129 0.538096630516603 0.5129770155026525
187 0.6167672437834362 0.5450410749610475 0.5083581852488627
188 0.6127903179194897 0.5519855194054919 0.5037750476433475
189 0.6088339331920158 0.5589299638499363 0.49922737253955113
190 0.6048980099256195 0.5658744082943808 0.4947149309796391
191 0.6009824686512034 0.5728188527388253 0.4902374951898896
192 0.5970872301057026 0.5797632971832697 0.4857948385760976
193 0.5932122152318143 0.5867077416277141 0.48138673571898405
194 0.5893573451777322 0.5936521860721585 0.47701296236962354
195 0.5855225412968773 0.6005966305166031 0.4726732954448787
196 0.5817077251476328 0.6075410749610475 0.46836751302285107
197 0.5779128184930729 0.614485519405492 0.46409539433833835
198 0.5741377433006996 0.6214299638499364 0.459856719778311
199 0.5703824217421739 0.6283744082943808 0.45565127087739493
200 0.5666467761930472 0.6353188527388253 0.45147883031336594
201 0.5629307292324944 0.6422632971832697 0.44733918190265914
202 0.559234203643048 0.6492077416277141 0.4432321105958891
203 0.5555571224103265 0.6561521860721585 0.4391574024733774
204 0.5518994087227733 0.6630966305166031 0.43511484474070244
205 0.5482609859713841 0.6700410749610475 0.4311042257242485
206 0.5446417777494412 0.6769855194054919 0.427125334866775
207 0.5410417078522475 0.6839299638499363 0.4231779627229949
208 0.5374607002768544 0.6908744082943807 0.41926190095516147
209 0.5338986792218016 0.697818852738825 0.415376942328676
210 0.5303555690868434 0.7047632971832695 0.4115228807076958
211 0.5268312944726844 0.7117077416277139 0.40769951105076147
212 0.5233257801807115 0.7186521860721584 0.4039066294064339
213 0.5198389512127243 0.7255966305166028 0.40014403290893913
214 0.5163707327706725 0.7325410749610473 0.39641151977383415
215 0.512921050256384 0.7394855194054917 0.3927088892936731
216 0.5094898292712994 0.7464299638499361 0.3890359418336924
217 0.5060769956162046 0.7533744082943806 0.38539247882750527
218 0.502682475290962 0.760318852738825 0.3817783027728066
219 0.49930619449424535 0.7672632971832696 0.37819321722709237
220 0.49594807962327053 0.774207741627714 0.3746370268033874
221 0.4926080572735288 0.7811521860721584 0.37110953716598644
222 0.4892860542385196 0.7880966305166028 0.36761055502620626
223 0.4859819975094819 0.7950410749610473 0.36413988813814824
224 0.48269581427512853 0.8019855194054918 0.3606973452944748
225 0.47942743192137766 0.8089299638499362 0.3572827363221949
226 0.47617677803108593 0.8158744082943806 0.3538958720784624
227 0.4729437803837798 0.8228188527388252 0.35053656444638376
228 0.46972836695538994 0.8297632971832696 0.34720462633084065
229 0.46653046591798275 0.836707741627714 0.34389987165432073
230 0.4633500056394929 0.8436521860721584 0.34062211535276105
231 0.46018691468345657 0.8505966305166028 0.33737117337140327
232 0.4570411218087426 0.8575410749610473 0.3341468626606579
233 0.453912555969287 0.8644855194054918 0.33094900117198406
234 0.45080114631382384 0.8714299638499362 0.32777740785377574
235 0.4477068221856199 0.8783744082943806 0.32463190264726405
236 0.44462951312220433 0.885318852738825 0.3215123064824252
237 0.4415691488551031 0.8922632971832695 0.3184184412739048
238 0.4385256593095719 0.8992077416277139 0.31535012991695155
239 0.4354989746043274 0.9061521860721583 0.312307196283361
240 0.43248902505128156 0.913096630516603 0.3092894652174328
241 0.4294957411552727 0.9200410749610471 0.30629676253193655
242 0.42651905361379694 0.9269855194054916 0.303328915004089
243 0.42631942817849516 0.9274526199977737 0.3031301780506468
244 0.42631942817849516 0.9274526199977737 0.3031301780506468
245 0.42631942817849516 0.9274526199977737 0.3031301780506468
246 0.42631942817849516 0.9274526199977737 0.3031301780506468
247 0.42631942817849516 0.9274526199977737 0.3031301780506468
248 0.42631942817849516 0.9274526199977737 0.3031301780506468
249 0.42631942817849516 0.9274526199977737 0.3031301780506468
250 0.42631942817849516 0.9274526199977737 0.3031301780506468
251 0.42631942817849516 0.9274526199977737 0.3031301780506468
252 0.42631942817849516 0.9274526199977737 0.3031301780506468
253 0.42631942817849516 0.9274526199977737 0.3031301780506468
254 0.42631942817849516 0.9274526199977737 0.3031301780506468
255 0.42631942817849516 0.9274526199977737 0.3031301780506468
256 0.42631942817849516 0.9274526199977737 0.3031301780506468
257 0.42631942817849516 0.9274526199977737 0.3031301780506468
258 0.42631942817849516 0.9274526199977737 0.3031301780506468
259 0.42631942817849516 0.9274526199977737 0.3031301780506468
260 0.42631942817849516 0.9274526199977737 0.3031301780506468
261 0.42631942817849516 0.9274526199977737 0.3031301780506468
262 0.42631942817849516 0.9274526199977737 0.3031301780506468
263 0.42631942817849516 0.9274526199977737 0.3031301780506468
264 0.42631942817849516 0.9274526199977737 0.3031301780506468
265 0.42631942817849516 0.9274526199977737 0.3031301780506468
266 0.42631942817849516 0.9274526199977737 0.3031301780506468
267 0.42631942817849516 0.9274526199977737 0.3031301780506468
268 0.42631942817849516 0.9274526199977737 0.3031301780506468
269 0.42631942817849516 0.9274526199977737 0.3031301780506468
270 0.42631942817849516 0.9274526199977737 0.3031301780506468
271 0.42631942817849516 0.9274526199977737 0.3031301780506468
272 0.42631942817849516 0.9274526199977737 0.3031301780506468
273 0.42631942817849516 0.9274526199977737 0.3031301780506468
274 0.42631942817849516 0.9274526199977737 0.3031301780506468
275 0.42631942817849516 0.9274526199977737 0.3031301780506468
276 0.42631942817849516 0.9274526199977737 0.3031301780506468
277 0.42631942817849516 0.9274526199977737 0.3031301780506468
278 0.42631942817849516 0.9274526199977737 0.3031301780506468
279 0.42631942817849516 0.9274526199977737 0.3031301780506468
280 0.42631942817849516 0.9274526199977737 0.3031301780506468
281 0.42631942817849516 0.9274526199977737 0.3031301780506468
282 0.42631942817849516 0.9274526199977737 0.3031301780506468
283 0.42631942817849516 0.9274526199977737 0.3031301780506468
284 0.42631942817849516 0.9274526199977737 0.3031301780506468
285 0.42631942817849516 0.9274526199977737 0.3031301780506468
286 0.42631942817849516 0.9274526199977737 0.3031301780506468
287 0.42631942817849516 0.9274526199977737 0.3031301780506468
288 0.42631942817849516 0.9274526199977737 0.3031301780506468
289 0.42631942817849516 0.9274526199977737 0.3031301780506468
290 0.42631942817849516 0.9274526199977737 0.3031301780506468
291 0.42631942817849516 0.9274526199977737 0.3031301780506468
292 0.42631942817849516 0.9274526199977737 0.3031301780506468
293 0.42631942817849516 0.9274526199977737 0.3031301780506468
294 0.42631942817849516 0.9274526199977737 0.3031301780506468
295 0.42631942817849516 0.9274526199977737 0.3031301780506468
296 0.42631942817849516 0.9274526199977737 0.3031301780506468
297 0.42631942817849516 0.9274526199977737 0.3031301780506468
298 0.42631942817849516 0.9274526199977737 0.3031301780506468
299 0.42631942817849516 0.9274526199977737 0.3031301780506468
300 0.42631942817849516 0.9274526199977737 0.3031301780506468
301 0.42631942817849516 0.9274526199977737 0.3031301780506468
302 0.42631942817849516 0.9274526199977737 0.3031301780506468
303 0.42631942817849516 0.9274526199977737 0.3031301780506468
304 0.42631942817849516 0.9274526199977737 0.3031301780506468
305 0.42631942817849516 0.9274526199977737 0.3031301780506468
306 0.42631942817849516 0.9274526199977737 0.3031301780506468
307 0.42631942817849516 0.9274526199977737 0.3031301780506468
308 0.42631942817849516 0.9274526199977737 0.3031301780506468
309 0.42631942817849516 0.9274526199977737 0.3031301780506468
310 0.42631942817849516 0.9274526199977737 0.3031301780506468
311 0.42631942817849516 0.9274526199977737 0.3031301780506468
312 0.42631942817849516 0.9274526199977737 0.3031301780506468
313 0.42631942817849516 0.9274526199977737 0.3031301780506468
314 0.42631942817849516 0.9274526199977737 0.3031301780506468
315 0.42631942817849516 0.9274526199977737 0.3031301780506468
316 0.42631942817849516 0.9274526199977737 0.3031301780506468
317 0.42631942817849516 0.9274526199977737 0.3031301780506468
318 0.42631942817849516 0.9274526199977737 0.3031301780506468
319 0.42631942817849516 0.9274526199977737 0.3031301780506468
320 0.42631942817849516 0.9274526199977737 0.3031301780506468
321 0.42631942817849516 0.9274526199977737 0.3031301780506468
322 0.42631942817849516 0.9274526199977737 0.3031301780506468
323 0.42631942817849516 0.9274526199977737 0.3031301780506468
324 0.42631942817849516 0.9274526199977737 0.3031301780506468
325 0.42631942817849516 0.9274526199977737 0.3031301780506468
326 0.42631942817849516 0.9274526199977737 0.3031301780506468
327 0.42631942817849516 0.9274526199977737 0.3031301780506468
328 0.42631942817849516 0.9274526199977737 0.3031301780506468
329 0.42631942817849516 0.9274526199977737 0.3031301780506468
330 0.42631942817849516 0.9274526199977737 0.3031301780506468
331 0.42631942817849516 0.9274526199977737 0.3031301780506468
332 0.42631942817849516 0.9274526199977737 0.3031301780506468
333 0.42631942817849516 0.9274526199977737 0.3031301780506468
334 0.42631942817849516 0.9274526199977737 0.3031301780506468
335 0.42631942817849516 0.9274526199977737 0.3031301780506468
336 0.42631942817849516 0.9274526199977737 0.3031301780506468
337 0.42631942817849516 0.9274526199977737 0.3031301780506468
338 0.42631942817849516 0.9274526199977737 0.3031301780506468
339 0.42631942817849516 0.9274526199977737 0.3031301780506468
340 0.42631942817849516 0.9274526199977737 0.3031301780506468
341 0.42631942817849516 0.9274526199977737 0.3031301780506468
342 0.42631942817849516 0.9274526199977737 0.3031301780506468
343 0.42631942817849516 0.9274526199977737 0.3031301780506468
344 0.42631942817849516 0.9274526199977737 0.3031301780506468
345 0.42631942817849516 0.9274526199977737 0.3031301780506468
346 0.42631942817849516 0.9274526199977737 0.3031301780506468
347 0.42631942817849516 0.9274526199977737 0.3031301780506468
348 0.42631942817849516 0.9274526199977737 0.3031301780506468
349 0.42631942817849516 0.9274526199977737 0.3031301780506468
350 0.42631942817849516 0.9274526199977737 0.3031301780506468
351 0.42631942817849516 0.9274526199977737 0.3031301780506468
352 0.42631942817849516 0.9274526199977737 0.3031301780506468
353 0.42631942817849516 0.9274526199977737 0.3031301780506468
354 0.42631942817849516 0.9274526199977737 0.3031301780506468
355 0.42631942817849516 0.9274526199977737 0.3031301780506468
356 0.42631942817849516 0.9274526199977737 0.3031301780506468
357 0.42631942817849516 0.9274526199977737 0.3031301780506468
358 0.42631942817849516 0.9274526199977737 0.3031301780506468
359 0.42631942817849516 0.9274526199977737 0.3031301780506468
360 0.42631942817849516 0.9274526199977737 0.3031301780506468
361 0.42631942817849516 0.9274526199977737 0.3031301780506468
362 0.265573711705307 0.9274526199977737 0.3031301780506468
363 0.265573711705307 0.9274526199977737 0.3031301780506468
364 0.265573711705307 0.9274526199977737 0.3031301780506468
365 0.265573711705307 0.9274526199977737 0.3031301780506468
366 0.265573711705307 0.9274526199977737 0.3031301780506468
367 0.265573711705307 0.9274526199977737 0.3031301780506468
368 0.265573711705307 0.9274526199977737 0.3031301780506468
369 0.265573711705307 0.9274526199977737 0.3031301780506468
370 0.265573711705307 0.9274526199977737 0.3031301780506468
371 0.265573711705307 0.9274526199977737 0.3031301780506468
372 0.265573711705307 0.9274526199977737 0.3031301780506468
373 0.265573711705307 0.9274526199977737 0.3031301780506468
374 0.265573711705307 0.9274526199977737 0.3031301780506468
375 0.265573711705307 0.9274526199977737 0.3031301780506468
376 0.265573711705307 0.9274526199977737 0.3031301780506468
377 0.265573711705307 0.9274526199977737 0.3031301780506468
378 0.265573711705307 0.9274526199977737 0.3031301780506468
379 0.265573711705307 0.9274526199977737 0.3031301780506468
380 0.265573711705307 0.9274526199977737 0.3031301780506468
381 0.265573711705307 0.9274526199977737 0.3031301780506468
382 0.265573711705307 0.9274526199977737 0.3031301780506468
383 0.265573711705307 0.9274526199977737 0.3031301780506468
384 0.265573711705307 0.9274526199977737 0.3031301780506468
385 0.265573711705307 0.9274526199977737 0.3031301780506468
386 0.265573711705307 0.9274526199977737 0.3031301780506468
387 0.265573711705307 0.9274526199977737 0.3031301780506468
388 0.265573711705307 0.9274526199977737 0.3031301780506468
389 0.265573711705307 0.9274526199977737 0.3031301780506468
390 0.265573711705307 0.9274526199977737 0.3031301780506468
391 0.265573711705307 0.9274526199977737 0.3031301780506468
392 0.265573711705307 0.9274526199977737 0.3031301780506468
393 0.265573711705307 0.9274526199977737 0.3031301780506468
394 0.265573711705307 0.9274526199977737 0.3031301780506468
395 0.265573711705307 0.9274526199977737 0.3031301780506468
396 0.265573711705307 0.9274526199977737 0.3031301780506468
397 0.265573711705307 0.9274526199977737 0.3031301780506468
398 0.265573711705307 0.9274526199977737 0.3031301780506468
399 0.265573711705307 0.9274526199977737 0.3031301780506468
400 0.265573711705307 0.9274526199977737 0.3031301780506468
401 0.265573711705307 0.9274526199977737 0.3031301780506468
402 0.265573711705307 0.9274526199977737 0.3031301780506468
403 0.265573711705307 0.9274526199977737 0.3031301780506468
404 0.265573711705307 0.9274526199977737 0.3031301780506468
405 0.265573711705307 0.9274526199977737 0.3031301780506468
406 0.265573711705307 0.9274526199977737 0.3031301780506468
407 0.265573711705307 0.9274526199977737 0.3031301780506468
408 0.265573711705307 0.9274526199977737 0.3031301780506468
409 0.265573711705307 0.9274526199977737 0.3031301780506468
410 0.265573711705307 0.9274526199977737 0.3031301780506468
411 0.265573711705307 0.9274526199977737 0.3031301780506468
412 0.265573711705307 0.9274526199977737 0.3031301780506468
413 0.265573711705307 0.9274526199977737 0.3031301780506468
414 0.265573711705307 0.9274526199977737 0.3031301780506468
415 0.265573711705307 0.9274526199977737 0.3031301780506468
416 0.265573711705307 0.9274526199977737 0.3031301780506468
417 0.265573711705307 0.9274526199977737 0.3031301780506468
418 0.265573711705307 0.9274526199977737 0.3031301780506468
419 0.265573711705307 0.9274526199977737 0.3031301780506468
420 0.265573711705307 0.9274526199977737 0.3031301780506468
421 0.265573711705307 0.9274526199977737 0.3031301780506468
422 0.265573711705307 0.9274526199977737 0.3031301780506468
423 0.265573711705307 0.9274526199977737 0.3031301780506468
424 0.265573711705307 0.9274526199977737 0.3031301780506468
425 0.265573711705307 0.9274526199977737 0.3031301780506468
426 0.265573711705307 0.9274526199977737 0.3031301780506468
427 0.265573711705307 0.9274526199977737 0.3031301780506468
428 0.265573711705307 0.9274526199977737 0.3031301780506468
429 0.265573711705307 0.9274526199977737 0.3031301780506468
430 0.265573711705307 0.9274526199977737 0.3031301780506468
431 0.265573711705307 0.9274526199977737 0.3031301780506468
432 0.265573711705307 0.9274526199977737 0.3031301780506468
433 0.265573711705307 0.9274526199977737 0.3031301780506468
434 0.265573711705307 0.9274526199977737 0.3031301780506468
435 0.265573711705307 0.9274526199977737 0.3031301780506468
436 0.265573711705307 0.9274526199977737 0.3031301780506468
437 0.265573711705307 0.9274526199977737 0.3031301780506468
438 0.265573711705307 0.9274526199977737 0.3031301780506468
439 0.265573711705307 0.9274526199977737 0.3031301780506468
440 0.265573711705307 0.9274526199977737 0.3031301780506468
441 0.265573711705307 0.9274526199977737 0.3031301780506468
442 0.265573711705307 0.9274526199977737 0.3031301780506468
443 0.265573711705307 0.9274526199977737 0.3031301780506468
444 0.265573711705307 0.9274526199977737 0.3031301780506468
445 0.265573711705307 0.9274526199977737 0.3031301780506468
446 0.265573711705307 0.9274526199977737 0.3031301780506468
447 0.265573711705307 0.9274526199977737 0.3031301780506468
448 0.265573711705307 0.9274526199977737 0.3031301780506468
449 0.265573711705307 0.9274526199977737 0.3031301780506468
450 0.265573711705307 0.9274526199977737 0.3031301780506468
451 0.265573711705307 0.9274526199977737 0.3031301780506468
452 0.265573711705307 0.9274526199977737 0.3031301780506468
453 0.265573711705307 0.9274526199977737 0.3031301780506468
454 0.265573711705307 0.9274526199977737 0.3031301780506468
455 0.265573711705307 0.9274526199977737 0.3031301780506468
456 0.265573711705307 0.9274526199977737 0.3031301780506468
457 0.265573711705307 0.9274526199977737 0.3031301780506468
458 0.265573711705307 0.9274526199977737 0.3031301780506468
459 0.265573711705307 0.9274526199977737 0.3031301780506468
460 0.265573711705307 0.9274526199977737 0.3031301780506468
461 0.125 0.0 0.1
462 0.125 0.0 0.1
463 0.125 0.0 0.1
464 0.125 0.0 0.1
465 0.125 0.0 0.1
466 0.125 0.0 0.1
467 0.125 0.0 0.1
468 0.125 0.0 0.1
469 0.125 0.0 0.1
470 0.125 0.0 0.1
471 0.125 0.0 0.1
472 0.125 0.0 0.1
473 0.125 0.0 0.1
474 0.125 0.0 0.1
475 0.125 0.0 0.1
476 0.125 0.0 0.1
477 0.125 0.0 0.1
478 0.125 0.0 0.1
479 0.125 0.0 0.1
480 0.125 0.0 0.1
481 0.125 0.0 0.1
482 0.125 0.0 0.1
483 0.125 0.0 0.1
484 0.125 0.0 0.1
485 0.125 0.0 0.1
486 0.125 0.0 0.1
487 0.125 0.0 0.1
488 0.125 0.0 0.1
489 0.125 0.0 0.1
490 0.125 0.0 0.1
491 0.125 0.0 0.1
492 0.125 0.0 0.1
493 0.125 0.0 0.1
494 0.125 0.0 0.1
495 0.125 0.0 0.1
496 0.125 0.0 0.1
497 0.125 0.0 0.1
498 0.125 0.0 0.1
499 0.125 0.0 0.1
